Operating Point Analysis Results:
Quiescent Current (I_Q): 9.98 uA
Power Consumption: 17.96 uW

Detailed Node Voltages:
m.xx1.xa49.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa49.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa50.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa50.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa50.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb50.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb50.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb50.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa1.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa1.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa1.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa2.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa2.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa2.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb1.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb1.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb1.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb2.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb2.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb2.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa3.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa3.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa3.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa4.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa4.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa4.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa7.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa7.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa7.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa8.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa8.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa8.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb3.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb3.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb3.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb4.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb4.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb4.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb5.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb5.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb5.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xb6.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xb6.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xb6.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xa29.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xa29.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xa29.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
